Variable,Units,Description,Dim,Type
t,-,"Time of observation, UTC",1,CDF_EPOCH
Latitude,-,Position in ITRF - Geocentric latitude,1,CDF_DOUBLE
Longitude,-,Position in ITRF - Geocentric longitude,1,CDF_DOUBLE
Latitude_QD,-,Quasi-dipole latitude,1,CDF_DOUBLE
Longitude_QD,-,Quasi-dipole longitude,1,CDF_DOUBLE
MLT,-,Magnetic local time (QD),1,CDF_DOUBLE
J_CF,-,North and East component of the curl-free horizontal sheet current density vector in geocentric frame,2,CDF_DOUBLE
J_DF,-,North and East component of the divergence-free horizontal sheet current density vector in geocentric frame,2,CDF_DOUBLE
J_CF_SemiQD,-,North component of the curl-free horizontal sheet current density in SemiQD frame,1,CDF_DOUBLE
J_DF_SemiQD,-,East component of the divergence-free horizontal sheet current density in SemiQD frame,1,CDF_DOUBLE
J_r,-,Radial ionospheric current density at 110 km altitude in SemiQD frame,1,CDF_DOUBLE
t_qual,-,"Time instants of quality information (RMS_misfit and Confidence), UTC",1,CDF_EPOCH
RMS_misfit,-,Root Mean Square error misfit between observations and model values for the oval crossing,1,CDF_DOUBLE
Confidence,-,Goodness of fit computed as 1 - (residual rms / signal rms) for the oval crossing,1,CDF_DOUBLE
